city,price,rating,stars,lowest_price,highest_price
Абу-Даби,18303.42,4.31,4.25,12737.01,22920.66
Аланья,6184.71,4.09,4.01,6203.38,22943.75
Алма-Ата,8978.38,3.87,3.75,6824.16,8686.99
Астана,12700.33,4.02,3.65,4857.21,6522.76
Афины,13724.45,4.2,3.37,8370.7,15814.96
Бангкок,12904.2,4.19,3.27,4312.44,6000.85
Барселона,21655.0,4.13,3.08,14238.31,24980.84
Батуми,7077.57,4.26,,3819.64,5469.89
Берлин,11799.6,3.97,3.38,8858.0,14292.74
Бирмингем,8122.56,3.85,3.13,7497.76,12476.31
Будва,12064.11,4.3,3.7,6919.65,11369.19
Буэнос-Айрес,13786.86,4.0,3.42,7360.87,11535.76
Ванкувер,19344.23,4.12,3.37,15224.42,28585.15
Велигаме,14066.67,4.47,3.17,7795.79,12554.74
Венеция,30257.25,4.22,3.03,14696.97,29367.47
Гейрангер,,4.21,3.38,12299.5,21350.12
Гюмри,,4.54,3.5,4326.56,5167.61
Дубай,18231.91,4.2,3.93,10490.84,21193.59
Ереван,6767.05,4.25,3.52,4548.14,6694.23
Каир,8718.78,4.0,3.47,6242.99,8792.32
Канберра,10477.33,3.91,3.97,10574.06,14654.4
Канди,,4.36,3.0,5033.28,7493.97
Карловы Вары,8636.0,4.31,4.0,8653.64,12127.56
Кирения,11923.46,4.08,3.81,12714.24,19163.85
Кируна,29201.0,4.32,3.0,13685.62,26129.69
Лондон,19789.4,3.98,3.49,17491.97,28786.59
Лос-Анджелес,19408.4,3.71,2.8,15534.49,21255.18
Мадрид,19066.32,3.99,2.94,10527.56,19014.39
Марсель,13531.5,3.88,2.97,8736.22,12279.97
Мендоса,32364.5,4.11,3.27,7555.75,10652.25
Мюнхен,11327.45,3.9,3.44,9260.78,14635.16
Нара,15673.75,4.13,2.85,10366.76,16606.42
Никосия,8615.6,4.23,3.31,7762.37,10141.44
Нью-Йорк,29016.8,4.16,3.6,23313.59,42266.53
Осло,14761.0,3.96,3.46,11717.02,17208.32
Оттава,14487.27,4.1,3.01,11244.08,15022.53
Париж,23493.37,4.14,3.3,17267.45,28695.89
Прага,12724.5,4.23,3.71,7438.31,13924.91
Пусан,5444.81,4.13,2.76,4169.07,6378.86
Пхукет,11697.2,4.23,3.39,6734.3,12723.72
Рим,27459.28,4.24,3.05,13719.47,24869.02
Родос,8783.11,4.32,3.22,8233.02,13686.24
Сеул,12740.58,4.11,2.93,6660.44,10413.52
Сиде,16895.35,4.17,4.22,8117.8,21610.88
Сидней,17745.44,3.9,3.65,12426.28,19630.55
Стокгольм,12424.28,3.99,3.73,9562.85,15480.98
Тбилиси,7749.8,4.36,4.19,4272.96,6394.93
Токио,23642.1,4.03,2.93,10152.7,17656.87
Улцинь,6397.18,4.24,3.61,5030.11,7928.04
Хургада,11560.79,4.32,4.29,8027.8,12532.95
