Unnamed: 0,country,city,"insurance, руб.","ticket_price, руб.",luggage_cost,flight_time_minutes,rest_rating,rest_price,hotel_rating,hotel_price,stars_grade,transport_grade,cards_grade,lang_grade,rest_rating_grade,rest_price_grade,hotel_rating_grade,hotel_price_grade,lat,lon
0,Армения,Ереван,1801,14803.8,5827.888888888889,1183.0,4.345882352941176,5434.777227722772,4.25,6767.05,3.52,5,5,3,3,2,4,1,40.18,44.51
1,Австралия,Сидней,9171,69848.0,7370.9,3170.0,4.2747899159663865,2373.4707903780068,3.9,17745.44,3.65,4,1,2,2,4,1,1,-33.8679, 151.207
2,Австралия,Канберра,7884,106518.1,5300.8,3451.0,3.910204081632653,1683.9572368421052,3.91,10477.33,3.97,4,1,2,1,5,1,1,-35.2835, 149.128
3,Англия,Бирмингем,45170,32343.6,9588.1,2170.0,4.315656565656566,2051.748387096774,3.85,8122.56,3.13,3,3,2,3,4,1,1,52.4814, -1.89983
4,Англия,Лондон,45170,27551.6,13269.8,1774.5,4.582214765100671,3004.180722891566,3.98,19789.4,3.49,5,3,2,4,3,1,1,51.51,-0.13
5,Аргентина,Буэнос-Айрес,12648,90089.7,18915.4,3598.0,4.146218487394958,5088.903553299492,4.0,13786.86,3.42,5,2,2,2,2,1,1,-34.6132, -58.3772
6,Аргентина,Мендоса,9260,132687.1,11075.875,3385.0,3.92089552238806,1541.4873949579833,4.11,32364.5,3.27,2,2,1,1,5,2,1,-32.8908, -68.8272
7,Армения,Гюмри,1113,16853.6,4254.666666666667,1935.0,4.403846153846154,1305.0,4.54,,3.5,2,5,3,4,5,4,1,40.7942, 43.8453
8,Германия ,Берлин,7500,34166.8,5810.125,1817.0,4.289297658862877,2068.8663194444443,3.97,11799.6,3.38,5,2,2,2,4,1,1,52.52,13.41
9,Германия ,Мюнхен,7500,33557.0,11733.666666666664,1527.0,4.261824324324325,3222.809322033898,3.9,11327.45,3.44,5,2,2,2,3,1,1,48.1374, 11.5755
10,Греция,Афины,1817,40494.4,8556.3,1318.0,4.419327731092437,1987.013812154696,4.2,13724.45,3.37,5,2,2,4,5,3,1,37.98,23.73
11,Греция,Родос,3368,43385.5,11595.6,1454.5,4.319290465631929,2215.122549019608,4.32,8783.11,3.22,3,2,2,3,4,4,1,36.4356, 28.222
12,Грузия,Батуми,9260,28602.5,5399.0,1197.0,4.03125,1370.4136363636364,4.26,7077.57,,4,1,1,1,5,4,1,41.6423, 41.6339
13,Грузия,Тбилиси,12648,25015.6,6271.666666666668,1473.5,4.3497453310696095,6610.841954022989,4.36,7749.8,4.19,5,1,1,3,2,4,1,41.69,44.83
14,Египет ,Хургада,9485,37285.1,4510.9,1684.5,4.492857142857143,4711.994047619048,4.32,11560.79,4.29,2,3,3,4,2,4,1,27.2574, 33.8129
15,Египет ,Каир,8131,30078.0,5136.7,1535.0,4.052583025830258,2537.4037267080744,4.0,8718.78,3.47,5,3,2,1,3,1,1,30.06,31.25
16,Испания,Мадрид,38667,37527.2,18391.4,1937.5,4.470588235294118,2442.05875,3.99,19066.32,2.94,5,2,2,4,4,1,1,40.42,-3.7
17,Испания,Барселона,38667,40906.9,19686.666666666668,1677.0,4.521996615905246,2386.5180180180178,4.13,21655.0,3.08,5,2,2,4,4,2,1,41.3888, 2.15899
18,Италия,Рим,51223,31765.8,14991.2,1933.5,4.498376623376624,2786.4866504854367,4.24,27459.28,3.05,5,1,2,4,3,4,1,41.89,12.51
19,Италия,Венеция,51223,42659.4,9947.833333333334,1478.0,4.198653198653199,4138.038321167884,4.22,30257.25,3.03,5,1,2,2,2,3,1,45.4371, 12.3327
20,Казахстан,Астана,1662,22170.8,6435.1,911.5,4.039024390243903,1626.7737226277372,4.02,12700.33,3.65,4,5,3,1,5,2,1,51.18,71.45
21,Казахстан,Алма-Ата,1113,24137.2,6184.4,969.5,4.141538461538461,2915.411111111111,3.87,8978.38,3.75,5,5,1,1,3,1,1,43.2567, 76.9286
22,Канада,Ванкувер,29451,130570.5,6918.222222222223,3353.0,4.222972972972973,2035.8346774193549,4.12,19344.23,3.37,5,1,2,2,5,2,1,49.2497, -123.119
23,Канада,Оттава,29588,181985.7,23170.6,3301.4,4.093062605752961,1558.216836734694,4.1,14487.27,3.01,4,1,2,1,5,2,1,45.41,-75.7
24,Кипр ,Кирения,4737,32074.7,6955.6,1379.0,4.213450292397661,929.5932203389832,4.08,11923.46,3.81,3,2,2,2,5,2,1,35.3417, 33.3167
25,Кипр ,Никосия,4892,30606.3,13658.888888888889,2265.5,4.124125874125874,1597.243478260869,4.23,8615.6,3.31,4,2,2,1,5,3,1,35.18,33.36
26,Норвегия,Гейрангер,36895,55364.6,10183.5,1725.5,4.166666666666667,1773.0,4.21,,3.38,3,1,1,2,5,3,1,62.094444, 7.080556
27,Норвегия,Осло,37220,41099.3,9893.6,1494.5,4.048821548821548,3622.5505415162456,3.96,14761.0,3.46,5,1,2,1,3,1,1,59.91,10.75
28,ОАЭ,Абу-Даби,34420,21858.5,6068.1,1494.0,4.390572390572391,4441.139484978541,4.31,18303.42,4.25,4,3,2,3,2,4,1,24.47,54.37
