hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Hotel Nikko Nara,Нара,https://www.tripadvisor.ru/Hotel_Review-g298198-d574405-Reviews-Hotel_Nikko_Nara-Nara_Nara_Prefecture_Kinki.html,13 077 руб,"4,0","4,0",7 022 руб - 10 669 руб,7 022 руб,10 669 руб
Mikasa,Нара,https://www.tripadvisor.ru/Hotel_Review-g298198-d1086966-Reviews-Mikasa-Nara_Nara_Prefecture_Kinki.html,Как добраться,"4,5","3,0",18 603 руб - 27 631 руб,18 603 руб,27 631 руб
Onyado Nono Nara,Нара,https://www.tripadvisor.ru/Hotel_Review-g298198-d12717152-Reviews-Onyado_Nono_Nara-Nara_Nara_Prefecture_Kinki.html,Как добраться,,"3,0",6 383 руб - 13 587 руб,6 383 руб,13 587 руб
Nara Hotel,Нара,https://www.tripadvisor.ru/Hotel_Review-g298198-d307626-Reviews-Nara_Hotel-Nara_Nara_Prefecture_Kinki.html,Как добраться,"4,0","4,0",13 040 руб - 22 159 руб,13 040 руб,22 159 руб
"Holiday Inn Yerevan - Republic Square, an IHG Hotel",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d19625125-Reviews-Holiday_Inn_Yerevan_Republic_Square_an_IHG_Hotel-Yerevan.html,8 329 руб,,,8 298 руб - 10 943 руб,8 298 руб,10 943 руб
"Отель ""Париж""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d7004445-Reviews-Paris_Hotel-Yerevan.html,33 953 руб,"4,5","4,0",7 295 руб - 12 493 руб,7 295 руб,12 493 руб
Republica Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6731098-Reviews-Republica_Hotel_Yerevan-Yerevan.html,8 412 руб,"4,5","4,0",7 113 руб - 9 575 руб,7 113 руб,9 575 руб
ibis Yerevan Center Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d11665411-Reviews-Ibis_Yerevan_Center_Hotel-Yerevan.html,6 768 руб,"4,5","3,0",6 019 руб - 7 204 руб,6 019 руб,7 204 руб
Май Отель Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6702577-Reviews-My_Hotel_Yerevan-Yerevan.html,2 562 руб,,"3,0",3 009 руб - 7 113 руб,3 009 руб,7 113 руб
DoubleTree by Hilton Hotel Yerevan City Centre,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8029079-Reviews-DoubleTree_by_Hilton_Hotel_Yerevan_City_Centre-Yerevan.html,10 172 руб,,"4,0",9 210 руб - 11 216 руб,9 210 руб,11 216 руб
Отель Армения Марриотт Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d299732-Reviews-Armenia_Marriott_Hotel_Yerevan-Yerevan.html,14 643 руб,"4,0","4,0",12 220 руб - 15 411 руб,12 220 руб,15 411 руб
Grand Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d585269-Reviews-Grand_Hotel_Yerevan-Yerevan.html,12 738 руб,"4,5","5,0",10 669 руб - 15 502 руб,10 669 руб,15 502 руб
Opera Suite Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d8280822-Reviews-Opera_Suite_Hotel-Yerevan.html,7 646 руб,"4,5","4,0",6 201 руб - 7 751 руб,6 201 руб,7 751 руб
Гостиница Туфенкян исторический Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d3634113-Reviews-Tufenkian_Historic_Yerevan_Hotel-Yerevan.html,8 887 руб,,"4,0",7 842 руб - 10 852 руб,7 842 руб,10 852 руб
Central Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d12591914-Reviews-Central_Hotel_Yerevan-Yerevan.html,11 444 руб,"4,5","4,0",8 207 руб - 11 125 руб,8 207 руб,11 125 руб
Nova Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d10100256-Reviews-Nova_Hotel-Yerevan.html,8 337 руб,"4,5","4,0",5 927 руб - 8 572 руб,5 927 руб,8 572 руб
Холидей Инн Экспресс Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d15098482-Reviews-Holiday_Inn_Express_Yerevan_an_IHG_Hotel-Yerevan.html,7 490 руб,,"3,0",6 657 руб - 8 390 руб,6 657 руб,8 390 руб
Отель Yerevan Place,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d5281493-Reviews-Yerevan_Place_Hotel-Yerevan.html,11 394 руб,"4,5","4,0",7 204 руб - 10 122 руб,7 204 руб,10 122 руб
"Гостиница Рэдиссон Блю, Ереван",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d10518419-Reviews-Radisson_Blu_Hotel_Yerevan-Yerevan.html,10 482 руб,"4,5","5,0",8 754 руб - 10 852 руб,8 754 руб,10 852 руб
Гостиница Конгресс-отель,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308336-Reviews-Best_Western_Plus_Congress_Hotel-Yerevan.html,8 095 руб,"4,0","3,5",7 022 руб - 8 846 руб,7 022 руб,8 846 руб
Ramada Hotel & Suites By Wyndham Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d16897972-Reviews-Ramada_Hotel_Suites_By_Wyndham_Yerevan-Yerevan.html,9 434 руб,"4,0","4,0",8 116 руб - 10 761 руб,8 116 руб,10 761 руб
Erebuni Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1216356-Reviews-Erebuni_Hotel-Yerevan.html,Как добраться,"4,5","3,0",5 654 руб - 6 110 руб,5 654 руб,6 110 руб
Делюкс Отель Ереван,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1479879-Reviews-Deluxe_Hotel_Yerevan-Yerevan.html,3 646 руб,"4,5","3,0",2 462 руб - 3 830 руб,2 462 руб,3 830 руб
Кантар,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6984429-Reviews-Kantar-Yerevan.html,8 431 руб,,"2,0",2 097 руб - 6 748 руб,2 097 руб,6 748 руб
Ani Grand Hotel Yerevan,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d17733752-Reviews-Ani_Grand_Hotel_Yerevan-Yerevan.html,9 798 руб,"4,0","4,0",7 204 руб - 9 575 руб,7 204 руб,9 575 руб
Andor Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d20264091-Reviews-Andor_Hotel-Yerevan.html,3 931 руб,"4,5",,1 915 руб - 4 104 руб,1 915 руб,4 104 руб
Гостиница Арег,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d1137158-Reviews-Areg_Hotel-Yerevan.html,4 557 руб,,"3,0",3 648 руб - 5 471 руб,3 648 руб,5 471 руб
"Гостиница ""Басс""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308335-Reviews-Bass_Boutique_Hotel-Yerevan.html,6 152 руб,"4,0","4,0",3 830 руб - 6 019 руб,3 830 руб,6 019 руб
Гостиница Метрополь (Best Eastern),Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d308339-Reviews-Best_Eastern_Hotel_Metropol-Yerevan.html,6 380 руб,"3,5","4,0",4 468 руб - 5 471 руб,4 468 руб,5 471 руб
"Аквапарк, спа-гостиница и центр развлечения ""Акватек""",Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d2288712-Reviews-Aquatek_Resort_and_SPA-Yerevan.html,Как добраться,,"3,0",4 833 руб - 7 751 руб,4 833 руб,7 751 руб
Imperial Palace Hotel,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d4886384-Reviews-Imperial_Palace_Hotel-Yerevan.html,5 400 руб,"4,0","4,0",4 104 руб - 7 204 руб,4 104 руб,7 204 руб
Отель Cascade,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d6213513-Reviews-Cascade_Hotel-Yerevan.html,Как добраться,"4,5","3,0",4 560 руб - 6 383 руб,4 560 руб,6 383 руб
Отель 14th Floor,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html,9 411 руб,"4,5","3,0",6 383 руб - 9 940 руб,6 383 руб,9 940 руб
Гостиница Наири,Ереван,https://www.tripadvisor.ru/Hotel_Review-g293932-d622382-Reviews-Bomo_Nairi_Hotel-Yerevan.html,5 276 руб,"3,5","3,0",1 733 руб - 4 012 руб,1 733 руб,4 012 руб
