hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Джумейрах Этихад Тауэрс,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2154485-Reviews-Conrad_Abu_Dhabi_Etihad_Towers-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,20916,5.0,5.0,16 962 руб - 24 713 руб,16962,24713
Эмират Палас Отель,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d507156-Reviews-Emirates_Palace_Mandarin_Oriental_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,65445,5.0,5.0,33 832 руб - 63 834 руб,33832,63834
The WB Abu Dhabi Curio Collection,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d23696373-Reviews-The_WB_Abu_Dhabi_Curio_Collection-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,31696,5.0,4.5,26 081 руб - 33 558 руб,26081,33558
Армед Форс Оффисерс Клуб & Отель,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d953102-Reviews-Erth_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,18505,5.0,5.0,13 405 руб - 23 436 руб,13405,23436
Сен Режис Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2554217-Reviews-The_St_Regis_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,26877,5.0,5.0,22 068 руб - 32 829 руб,22068,32829
DoubleTree by Hilton Abu Dhabi Yas Island Residences,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d23617224-Reviews-DoubleTree_by_Hilton_Abu_Dhabi_Yas_Island_Residences-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,19810,5.0,4.0,17 782 руб - 26 172 руб,17782,26172
InterContinental Residences Abu Dhabi,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d25285042-Reviews-InterContinental_Residences_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,33365,5.0,5.0,16 141 руб - 34 835 руб,16141,34835
The Abu Dhabi EDITION,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d13451288-Reviews-The_Abu_Dhabi_EDITION-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,21387,5.0,5.0,18 694 руб - 25 533 руб,18694,25533
Anantara Santorini Abu Dhabi Retreat,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d27164855-Reviews-Anantara_Santorini_Abu_Dhabi_Retreat-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,99054,5.0,,61 280 руб - 119 278 руб,61280,119278
Club Prive By Rixos Saadiyat Island,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d23721696-Reviews-Club_Prive_By_Rixos_Saadiyat_Island-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,,5.0,5.0,107 697 руб - 496 261 руб,107697,496261
Эмират Палас Отель,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d507156-Reviews-Emirates_Palace_Mandarin_Oriental_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,108126,5.0,5.0,33 832 руб - 63 834 руб,33832,63834
Розевуд Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d3528575-Reviews-Rosewood_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,32119,5.0,5.0,22 615 руб - 33 285 руб,22615,33285
DoubleTree by Hilton Abu Dhabi Yas Island Residences,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d23617224-Reviews-DoubleTree_by_Hilton_Abu_Dhabi_Yas_Island_Residences-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,44646,5.0,4.0,17 782 руб - 26 172 руб,17782,26172
Anantara Santorini Abu Dhabi Retreat,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d27164855-Reviews-Anantara_Santorini_Abu_Dhabi_Retreat-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,137351,5.0,,61 280 руб - 119 278 руб,61280,119278
Аль Раха Бич Отель,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d575851-Reviews-Al_Raha_Beach_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,15252,4.5,5.0,12 584 руб - 20 974 руб,12584,20974
"Ритц Карлтон Абу Даби, Гран Каналь",Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d3533740-Reviews-The_Ritz_Carlton_Abu_Dhabi_Grand_Canal-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,23973,4.5,5.0,19 332 руб - 26 354 руб,19332,26354
Яс Висерой Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1532083-Reviews-W_Abu_Dhabi_Yas_Island-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,26259,4.5,5.0,18 238 руб - 26 081 руб,18238,26081
Сентро Яс Айленд Абу-Даби Ротана,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2390468-Reviews-Centro_Yas_Island-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,13805,4.5,3.0,7 842 руб - 12 311 руб,7842,12311
"Шангри-Ля Отель, Карьят Аль Бери, Абу-Даби",Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d656277-Reviews-Shangri_La_Qaryat_Al_Beri_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,21625,4.5,5.0,18 421 руб - 24 166 руб,18421,24166
Фэрмонт Баб Аль Бахр,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1557740-Reviews-Fairmont_Bab_Al_Bahr-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,18020,4.5,5.0,14 135 руб - 25 078 руб,14135,25078
Bab Al Qasr Hotel,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d9584967-Reviews-Bab_Al_Qasr_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,18616,4.5,,13 770 руб - 20 062 руб,13770,20062
Rixos Marina Abu Dhabi,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d15215098-Reviews-Rixos_Marina_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,34755,4.5,5.0,18 238 руб - 28 999 руб,18238,28999
Лё Меридиан Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d301546-Reviews-Le_Meridien_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,13154,4.5,4.0,12 584 руб - 16 232 руб,12584,16232
Интерконтиненталь Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d299238-Reviews-InterContinental_Abu_Dhabi_an_IHG_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,14674,4.5,5.0,14 135 руб - 18 421 руб,14135,18421
"Трейдрс Отель, Карьят Аль Бери, Абу-Даби",Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1510153-Reviews-Traders_Hotel_Qaryat_Al_Beri_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,9453,4.5,4.0,8 663 руб - 16 232 руб,8663,16232
Краун Плаза Абу-Даби - Яс Айленд,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1558141-Reviews-Crowne_Plaza_Abu_Dhabi_Yas_Island_An_IHG_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,38824,4.5,4.0,12 402 руб - 19 788 руб,12402,19788
Халидия Палас Райхаан Ротана,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1488875-Reviews-Khalidiya_Palace_Rayhaan_by_Rotana-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,16863,4.5,5.0,13 679 руб - 19 332 руб,13679,19332
Rixos Premium Saadiyat Island,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d15132109-Reviews-Rixos_Premium_Saadiyat_Island-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,,4.5,5.0,36 294 руб - 112 986 руб,36294,112986
Яс Айленд Ротана,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1537304-Reviews-Yas_Island_Rotana-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,24376,4.5,4.0,10 761 руб - 16 414 руб,10761,16414
Милленниум Отель Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d301683-Reviews-Corniche_Hotel_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,27186,4.5,4.0,6 019 руб - 13 496 руб,6019,13496
Хилтон Абу-Даби Отель,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d306601-Reviews-Radisson_Blu_Hotel_And_Resort_Abu_Dhabi_Corniche-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,19133,4.5,5.0,16 050 руб - 20 336 руб,16050,20336
Saadiyat Rotana Resort & Villas,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d13396011-Reviews-Saadiyat_Rotana_Resort_Villas-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,69801,4.5,5.0,25 898 руб - 60 460 руб,25898,60460
Jumeirah at Saadiyat Island Resort,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d15201093-Reviews-Jumeirah_at_Saadiyat_Island_Resort-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,97622,4.5,5.0,35 291 руб - 86 540 руб,35291,86540
Premier Inn Abu Dhabi International Airport Hotel,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d5600443-Reviews-Premier_Inn_Abu_Dhabi_International_Airport_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,8647,4.5,3.0,6 292 руб - 10 396 руб,6292,10396
Ибис Абу-Даби Гейт,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2555801-Reviews-Ibis_Abu_Dhabi_Gate-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,5283,4.5,3.0,5 563 руб - 7 842 руб,5563,7842
Парк Хаят Абу-Даби Отель & Виллы,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2345732-Reviews-Park_Hyatt_Abu_Dhabi_Hotel_and_Villas-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,88744,4.5,5.0,32 555 руб - 74 229 руб,32555,74229
